Probability,ber
0,0
0.010101,0
0.020202,0
0.030303,0
0.040404,0
0.0505051,0
0.0606061,0
0.0707071,0
0.0808081,0
0.0909091,0
0.10101,0
0.111111,0
0.121212,0
0.131313,0
0.141414,0.5
0.151515,0.5
0.161616,0.5
0.171717,0
0.181818,0.375
0.191919,0
0.20202,0.25
0.212121,0.5
0.222222,0
0.232323,0.125
0.242424,0.375
0.252525,0.25
0.262626,0.375
0.272727,0.25
0.282828,0.125
0.292929,0.25
0.30303,0.875
0.313131,0.625
0.323232,0.125
0.333333,0.25
0.343434,0.5
0.353535,0.5
0.363636,0.5
0.373737,0
0.383838,0.75
0.393939,0.625
0.40404,0.625
0.414141,0
0.424242,0.375
0.434343,0.625
0.444444,0.375
0.454545,0.5
0.464646,0.75
0.474747,0.375
0.484848,0.5
0.494949,0.5
0.505051,0.875
0.515152,0.375
0.525253,0.625
0.535354,0.875
0.545455,0.5
0.555556,0.625
0.565657,0.75
0.575758,0.5
0.585859,0.5
0.59596,0.625
0.606061,0.5
0.616162,0.5
0.626263,0.375
0.636364,0.625
0.646465,0.625
0.656566,0.5
0.666667,0.625
0.676768,0.375
0.686869,0.5
0.69697,0.625
0.707071,0.375
0.717172,0.5
0.727273,0.625
0.737374,0.75
0.747475,0.625
0.757576,0.75
0.767677,0.5
0.777778,0.5
0.787879,0.625
0.79798,0.375
0.808081,0.5
0.818182,0.75
0.828283,0.375
0.838384,0.5
0.848485,0.625
0.858586,0.375
0.868687,0.375
0.878788,0.5
0.888889,0.5
0.89899,0.75
0.909091,0.375
0.919192,0.625
0.929293,0.5
0.939394,0.5
0.949495,0.375
0.959596,0.5
0.969697,0.5
0.979798,0.5
0.989899,0.5
1,0.5
